-- DTU dataset for estimating relative camera pose (Training data)
8 21 38 0.953831 0.167234 -0.170284 -0.182326 0.202728 0.716106 -0.667903
9 23 17 0.965444 0.175896 -0.128502 -0.143057 -0.281188 0.502801 -0.817389
27 30 40 0.989120 0.106075 0.095825 0.034739 0.513147 -0.656833 -0.552495
21 44 70 0.906547 0.205834 0.352727 0.106713 -0.161819 -0.896261 -0.412954
19 36 18 0.955258 0.209440 0.187519 0.091946 -0.558160 -0.663070 -0.498794
3 21 15 0.875169 0.223847 -0.266853 -0.335800 0.417768 0.747006 -0.517158
8 9 3 0.984201 0.019688 0.102429 0.143070 0.425157 -0.855224 0.296366
36 44 3 0.972793 0.107594 0.201258 0.039896 0.042853 -0.958059 -0.283348
3 18 71 0.929667 0.150000 -0.185390 -0.280801 0.093080 0.761448 -0.641509
8 42 15 0.919924 0.382052 -0.045171 -0.075738 -0.328817 0.463514 -0.822821
17 22 9 0.988936 0.086896 -0.089399 -0.080387 -0.076029 0.571691 -0.816939
9 40 43 0.837739 0.318824 -0.357074 -0.262759 0.619972 0.700407 -0.353644
17 35 22 0.978658 0.200681 0.044174 0.002265 -0.465813 -0.309125 -0.829132
35 39 74 0.915272 0.073949 -0.380447 -0.109860 0.685869 0.726157 -0.047746
38 43 62 0.942854 0.109550 0.307378 0.067407 -0.107292 -0.991681 -0.071114
2 10 13 0.991707 0.088301 -0.041676 -0.083569 -0.764652 -0.355322 -0.537638
45 48 41 0.954111 0.008374 0.295811 0.045801 0.836125 -0.523328 -0.164389
24 44 30 0.979256 0.200095 0.028421 -0.014574 -0.233842 -0.261316 -0.936500
16 34 72 0.979862 0.198501 0.016075 -0.014441 -0.394717 -0.285935 -0.873178
10 44 73 0.902161 0.364031 -0.173867 -0.152830 -0.126521 0.495576 -0.859300
7 36 56 0.948557 0.300865 0.092270 0.034724 -0.667562 -0.116257 -0.735422
8 38 62 0.920936 0.257545 -0.214705 -0.198618 0.329651 0.732735 -0.595340
48 49 52 0.994901 0.002860 0.099635 0.015412 0.970146 -0.240924 0.027808
6 20 11 0.980211 0.196300 -0.001927 -0.025484 -0.485663 0.400141 -0.777187
6 8 77 0.938524 0.039876 0.198791 0.279402 0.228400 -0.937950 0.260929
17 23 53 0.995103 0.098347 0.004133 -0.008947 -0.529083 -0.288831 -0.797902
21 22 17 0.992968 0.009315 0.100357 0.062095 -0.172236 -0.919581 0.353138
9 37 61 0.900484 0.245776 -0.268190 -0.238324 0.340738 0.734885 -0.586380
34 43 1 0.989491 0.094687 -0.102154 -0.038824 -0.031593 0.505251 -0.862394
9 23 72 0.965444 0.175896 -0.128502 -0.143057 -0.281188 0.502801 -0.817389
39 40 74 0.994899 0.003509 0.099626 0.015449 -0.469551 -0.808987 0.353641
2 23 72 0.867142 0.220413 -0.278851 -0.348892 0.106215 0.718640 -0.687223
12 30 14 0.974434 0.187797 -0.092719 -0.081330 -0.325419 -0.297730 -0.897474
21 40 39 0.979587 0.197634 -0.018172 -0.031923 -0.153990 0.210743 -0.965336
14 15 71 0.990315 -0.012703 -0.100900 -0.094523 -0.380277 0.788514 -0.483358
16 36 51 0.962063 0.177439 -0.164944 -0.125474 0.025016 0.607960 -0.793574
23 42 38 0.978422 0.195454 -0.050615 -0.043892 -0.127186 0.227173 -0.965513
19 42 74 0.929067 0.301814 0.204236 0.063489 -0.634980 -0.387207 -0.668485
20 35 61 0.914990 0.118518 0.351216 0.159353 -0.016134 -0.999388 -0.031028
7 23 63 0.964360 0.210271 0.128086 0.096902 -0.579644 -0.608837 -0.541599
26 35 62 0.947718 0.075316 -0.273901 -0.145385 0.112355 0.761534 -0.638313
16 44 37 0.955000 0.294795 0.012588 -0.030220 -0.325440 -0.017581 -0.945399
22 45 54 0.912983 0.205913 0.337386 0.101153 -0.015627 -0.853567 -0.520749
25 33 76 0.994631 0.101297 0.021082 -0.002140 -0.179967 -0.592419 -0.785271
22 33 50 0.923662 0.118021 0.332173 0.150267 0.320453 -0.914897 -0.245507
45 46 49 0.994897 0.002742 0.099677 0.015386 0.662690 -0.709544 0.239559
11 14 71 0.988224 0.086198 -0.077350 -0.100005 -0.705870 -0.127667 -0.696742
34 40 54 0.912881 0.073432 -0.385901 -0.111068 0.577042 0.794083 -0.190931
15 24 59 0.983239 0.084191 -0.122896 -0.105119 -0.303396 0.517048 -0.800383
23 43 6 0.978398 0.201587 0.044992 -0.008691 -0.301818 -0.271443 -0.913906
3 22 1 0.914562 0.247555 -0.194175 -0.254145 -0.024323 0.733280 -0.679492
13 47 62 0.950665 0.286294 -0.089432 -0.079204 -0.195644 -0.009598 -0.980628
48 49 14 0.994901 0.002860 0.099635 0.015412 0.970146 -0.240924 0.027808
28 30 57 0.994900 0.098849 -0.010286 -0.017209 -0.106159 -0.553670 -0.825942
4 17 31 0.977584 0.203782 0.040370 0.034230 -0.755899 -0.294999 -0.584459
18 22 36 0.994734 0.100368 0.020424 0.003772 -0.583567 -0.289184 -0.758830
13 26 63 0.976258 0.080041 -0.154004 -0.129602 -0.538538 0.322493 -0.778444
6 19 24 0.992512 0.106083 0.045402 0.040061 -0.800214 -0.188147 -0.569436
26 47 19 0.975048 0.202797 0.089862 0.008952 0.090773 -0.506460 -0.857472
18 36 31 0.976470 0.202738 0.070937 0.019255 -0.553932 -0.312517 -0.771682
36 46 8 0.911226 0.109091 0.387080 0.089079 0.368180 -0.870000 -0.327938
28 32 37 0.969922 0.082504 -0.200915 -0.109900 -0.445782 0.390885 -0.805287
2 16 17 0.936113 0.154962 -0.173455 -0.263803 -0.388365 0.539690 -0.746932
47 49 7 0.979670 0.005725 0.198173 0.030694 0.945552 -0.300389 -0.125295
17 40 50 0.926199 0.267575 -0.223185 -0.144044 0.408969 0.689577 -0.597685
18 23 21 0.984511 0.110158 0.113744 0.075269 -0.372627 -0.866544 -0.332041
6 40 73 0.915963 0.392801 0.081920 0.002839 -0.617022 0.380589 -0.688793
18 23 13 0.984511 0.110158 0.113744 0.075269 -0.372627 -0.866544 -0.332041
25 27 54 0.971828 0.017654 0.200023 0.123407 0.872267 -0.488626 0.019871
28 29 37 0.990308 0.105352 0.085455 0.029798 0.587524 -0.545385 -0.597805
6 17 76 0.934775 0.129889 0.222964 0.244155 -0.146528 -0.985279 -0.088057
8 36 65 0.954156 0.286558 -0.047417 -0.072270 -0.417990 0.339343 -0.842693
19 35 25 0.926161 0.212144 0.275253 0.146480 -0.326526 -0.860042 -0.392058
17 40 9 0.926199 0.267575 -0.223185 -0.144044 0.408969 0.689577 -0.597685
18 34 5 0.935944 0.211868 0.249401 0.130077 -0.180503 -0.850473 -0.494080
28 30 28 0.994900 0.098849 -0.010286 -0.017209 -0.106159 -0.553670 -0.825942
33 44 46 0.988771 0.094816 -0.108233 -0.040348 -0.156437 0.459543 -0.874270
12 27 16 0.972042 0.077819 -0.169935 -0.142127 -0.630355 0.182256 -0.754609
8 24 9 0.972926 0.206571 0.086358 0.057315 -0.488283 -0.594698 -0.638681
21 43 39 0.939330 0.207104 0.263573 0.072775 -0.347582 -0.812443 -0.468105
42 43 17 0.994791 0.003590 0.100692 0.015444 0.116716 -0.927465 0.355226
6 37 7 0.938367 0.304134 0.145570 0.076020 -0.774754 -0.151706 -0.613792
17 37 3 0.967683 0.181005 -0.137528 -0.109142 0.078973 0.600587 -0.795649
24 35 13 0.992479 0.094299 -0.064341 -0.044200 -0.232912 0.295667 -0.926463
6 37 21 0.938367 0.304134 0.145570 0.076020 -0.774754 -0.151706 -0.613792
17 39 72 0.897952 0.252057 -0.309681 -0.185058 0.687104 0.644447 -0.335525
22 33 61 0.923662 0.118021 0.332173 0.150267 0.320453 -0.914897 -0.245507
13 32 62 0.963784 0.180121 -0.155954 -0.119810 -0.384449 0.148511 -0.911122
30 48 51 0.994568 0.098467 -0.027581 -0.019436 -0.163023 -0.307845 -0.937366
31 33 56 0.977099 -0.011116 -0.199366 -0.073528 -0.383929 0.719262 -0.579018
10 23 70 0.920191 0.150778 -0.252787 -0.258095 0.101837 0.712815 -0.693920
38 42 61 0.970328 0.107635 0.212289 0.042568 -0.307522 -0.937097 -0.165165
18 34 30 0.935944 0.211868 0.249401 0.130077 -0.180503 -0.850473 -0.494080
5 8 76 0.940040 0.132249 0.160500 0.270322 -0.254779 -0.959550 -0.119800
8 39 57 0.864926 0.335055 -0.296545 -0.227382 0.605875 0.702875 -0.372669
17 39 70 0.897952 0.252057 -0.309681 -0.185058 0.687104 0.644447 -0.335525
36 38 26 0.977053 -0.012065 -0.199497 -0.073643 0.549038 0.818627 -0.168548
25 32 7 0.986343 0.107118 0.116867 0.044678 0.284738 -0.842586 -0.457136
34 45 40 0.990238 0.103233 0.092922 0.011725 0.132486 -0.814967 -0.564159
26 31 33 0.987843 0.106700 0.105903 0.039572 0.412170 -0.757949 -0.505597
3 18 49 0.929667 0.150000 -0.185390 -0.280801 0.093080 0.761448 -0.641509
16 18 76 0.961283 -0.027508 -0.200454 -0.187073 0.522231 0.798534 -0.299362
9 15 41 0.990266 0.108300 0.063200 0.060410 -0.155879 -0.912471 -0.378282
10 34 8 0.936740 0.270699 -0.158414 -0.155386 -0.275640 0.393127 -0.877196
35 36 56 0.994237 -0.006517 -0.100438 -0.036901 0.148912 0.918196 -0.367070
26 47 40 0.975048 0.202797 0.089862 0.008952 0.090773 -0.506460 -0.857472
16 41 65 0.916418 0.262097 -0.256938 -0.159578 0.363579 0.708318 -0.605058
1 34 60 0.791710 0.283232 -0.375342 -0.389992 0.181101 0.620988 -0.762612
22 40 74 0.970734 0.189195 -0.128922 -0.072523 0.282155 0.547237 -0.787985
29 47 15 0.967500 0.087170 -0.226535 -0.070908 -0.478476 0.288513 -0.829350
8 42 51 0.919924 0.382052 -0.045171 -0.075738 -0.328817 0.463514 -0.822821
22 37 38 0.993774 0.096213 -0.044430 -0.034377 -0.104328 0.286956 -0.952246
13 47 59 0.950665 0.286294 -0.089432 -0.079204 -0.195644 -0.009598 -0.980628
35 43 2 0.994891 0.100211 0.001279 -0.012153 -0.146290 -0.265786 -0.952868
7 38 39 0.951385 0.282649 -0.077344 -0.094835 -0.173327 0.615023 -0.769223
26 30 53 0.969478 0.111758 0.200555 0.086025 0.673337 -0.572830 -0.467423
36 45 74 0.946829 0.108960 0.295711 0.064792 0.229930 -0.939138 -0.255249
14 46 15 0.953369 0.289747 -0.055984 -0.063247 -0.221696 0.007055 -0.975090
11 25 54 0.938772 0.160985 -0.210863 -0.219833 -0.334215 0.448764 -0.828801
14 24 44 0.952449 0.069875 -0.230208 -0.186984 -0.066288 0.708509 -0.702581
13 14 53 0.990297 -0.013112 -0.101022 -0.094519 -0.611309 0.640280 -0.465127
29 30 77 0.994280 -0.005760 -0.099964 -0.037158 -0.875136 0.288163 -0.388715
3 22 58 0.914562 0.247555 -0.194175 -0.254145 -0.024323 0.733280 -0.679492
23 25 48 0.971952 0.018481 0.199518 0.123131 0.563477 -0.803103 0.193698
20 39 56 0.979826 0.198180 -0.001843 -0.025732 -0.191145 0.208361 -0.959192
8 21 67 0.953831 0.167234 -0.170284 -0.182326 0.202728 0.716106 -0.667903
23 41 23 0.968342 0.187470 -0.145003 -0.078372 0.212755 0.573709 -0.790945
21 35 14 0.954738 0.115211 0.251215 0.109967 -0.098034 -0.986525 -0.130989
8 38 66 0.920936 0.257545 -0.214705 -0.198618 0.329651 0.732735 -0.595340
25 31 34 0.966681 0.112010 0.211422 0.091003 0.563459 -0.717396 -0.409705
14 43 76 0.893009 0.252228 -0.320755 -0.189820 0.235442 0.685148 -0.689304
18 35 64 0.961687 0.208617 0.161247 0.075077 -0.429856 -0.684665 -0.588606
11 14 26 0.988224 0.086198 -0.077350 -0.100005 -0.705870 -0.127667 -0.696742
32 33 54 0.994265 -0.005437 -0.100201 -0.036969 -0.453818 0.751030 -0.479587
25 44 72 0.976052 0.193384 -0.082922 -0.055211 -0.167678 0.222068 -0.960505
34 37 1 0.948642 -0.018601 -0.296359 -0.109108 0.414800 0.866742 -0.276946
28 47 4 0.970411 0.188944 -0.131594 -0.072706 -0.282548 0.068752 -0.956786
23 41 1 0.968342 0.187470 -0.145003 -0.078372 0.212755 0.573709 -0.790945
2 8 73 0.901267 0.039634 -0.210506 -0.376608 0.241150 0.779657 -0.577912
13 30 31 0.979551 0.199447 0.025120 -0.008399 0.013110 -0.542953 -0.839661
5 8 71 0.940040 0.132249 0.160500 0.270322 -0.254779 -0.959550 -0.119800
23 32 26 0.927879 0.116866 0.322746 0.145661 0.470463 -0.813878 -0.340979
36 46 62 0.911226 0.109091 0.387080 0.089079 0.368180 -0.870000 -0.327938
3 17 57 0.963744 0.172455 -0.108082 -0.172557 -0.469003 0.483832 -0.738880
41 42 15 0.994868 0.003444 0.099951 0.015326 -0.085726 -0.924867 0.370503
24 38 67 0.919279 0.065180 -0.344212 -0.179431 0.661590 0.718906 -0.213242
2 15 15 0.967461 0.175756 -0.095153 -0.155163 -0.677080 0.001478 -0.735908
8 37 69 0.942985 0.273580 -0.131862 -0.136181 -0.077461 0.636126 -0.767687
8 20 40 0.920275 0.149673 -0.252528 -0.258690 0.642202 0.647121 -0.410866
10 42 22 0.846742 0.325411 -0.337735 -0.251138 0.369308 0.727735 -0.577939
13 32 58 0.963784 0.180121 -0.155954 -0.119810 -0.384449 0.148511 -0.911122
14 28 19 0.978660 0.112413 0.142063 0.096985 0.645885 -0.643330 -0.411046
25 36 69 0.951413 0.075302 -0.263450 -0.140491 0.275946 0.789132 -0.548748
18 35 12 0.961687 0.208617 0.161247 0.075077 -0.429856 -0.684665 -0.588606
1 23 65 0.736462 0.158489 -0.419719 -0.506301 0.531273 0.621350 -0.575910
41 44 41 0.954032 0.010079 0.296034 0.045660 0.299286 -0.918176 0.259580
8 17 46 0.995028 0.098390 -0.003123 -0.015103 -0.678368 -0.195189 -0.708320
15 36 33 0.926534 0.160550 -0.278897 -0.194871 0.277152 0.728633 -0.626324
28 31 27 0.988093 0.091186 -0.106157 -0.063938 -0.544196 0.012120 -0.838871
17 23 30 0.995103 0.098347 0.004133 -0.008947 -0.529083 -0.288831 -0.797902
22 43 66 0.965624 0.205961 0.155270 0.032264 -0.358312 -0.631960 -0.687197
35 36 24 0.994237 -0.006517 -0.100438 -0.036901 0.148912 0.918196 -0.367070
42 44 75 0.979460 0.006715 0.199161 0.030792 0.307893 -0.907594 0.285437
5 6 25 0.994958 0.095527 -0.010067 -0.028835 -0.592425 0.446698 -0.670443
24 45 74 0.971066 0.203784 0.122822 0.020423 -0.105341 -0.604969 -0.789250
1 24 11 0.803176 0.189469 -0.357755 -0.437060 0.174196 0.662913 -0.728149
21 37 60 0.992484 0.104102 0.061908 0.017503 -0.528470 -0.542000 -0.653418
16 26 55 0.970450 0.114164 0.174448 0.121496 0.379710 -0.874656 -0.301325
24 44 51 0.979256 0.200095 0.028421 -0.014574 -0.233842 -0.261316 -0.936500
34 36 63 0.977072 -0.012706 -0.199432 -0.073460 0.192061 0.902462 -0.385583
22 42 17 0.977467 0.202272 0.060296 -0.002998 -0.382266 -0.268916 -0.884057
33 46 31 0.990805 0.103109 0.087005 0.010156 0.256937 -0.757143 -0.600598
15 24 65 0.983239 0.084191 -0.122896 -0.105119 -0.303396 0.517048 -0.800383
36 41 15 0.990562 0.095464 -0.091462 -0.036179 0.219194 0.511904 -0.830607
1 25 36 0.858959 0.216990 -0.289881 -0.362041 -0.183239 0.536523 -0.823752
8 39 34 0.864926 0.335055 -0.296545 -0.227382 0.605875 0.702875 -0.372669
37 38 73 0.994248 -0.006040 -0.100293 -0.037101 0.532571 0.818693 -0.214732
35 41 4 0.974954 0.088717 -0.194184 -0.062339 0.367577 0.750256 -0.549547
17 34 19 0.967284 0.207049 0.134538 0.058245 -0.303941 -0.682007 -0.665197
20 43 37 0.899927 0.205132 0.368001 0.112375 -0.305742 -0.906098 -0.292418
20 44 77 0.856347 0.201423 0.452858 0.144978 -0.116129 -0.947711 -0.297251
17 43 44 0.953518 0.297188 0.047866 -0.013811 -0.410841 -0.041895 -0.910744
11 33 4 0.921399 0.260301 -0.211863 -0.195909 -0.252742 0.369986 -0.893998
44 47 71 0.954061 0.008367 0.295976 0.045778 0.742963 -0.667036 -0.055400
36 37 50 0.994246 -0.006110 -0.100355 -0.036974 0.349303 0.887913 -0.299328
24 45 21 0.971066 0.203784 0.122822 0.020423 -0.105341 -0.604969 -0.789250
21 37 59 0.992484 0.104102 0.061908 0.017503 -0.528470 -0.542000 -0.653418
18 23 15 0.984511 0.110158 0.113744 0.075269 -0.372627 -0.866544 -0.332041
14 27 8 0.993075 0.103659 0.049062 0.025500 0.138545 -0.830699 -0.539207
23 37 12 0.981154 0.086632 -0.149968 -0.085676 0.284840 0.700988 -0.653821
26 33 16 0.990430 0.093378 -0.086059 -0.054064 -0.397776 0.205311 -0.894216
24 33 58 0.984744 0.107723 0.127398 0.049452 0.138904 -0.902473 -0.407736
26 43 7 0.933912 0.173418 -0.284943 -0.128616 0.169183 0.698037 -0.695788
15 32 63 0.975607 0.203026 0.079599 0.025195 -0.099504 -0.619464 -0.778693
44 46 42 0.979629 0.005596 0.198389 0.030610 0.647669 -0.749083 0.139279
7 17 24 0.979980 0.115947 0.112062 0.116784 -0.431338 -0.863247 -0.262205
6 38 37 0.952226 0.298940 0.061446 0.011145 -0.655165 0.253675 -0.711624
1 23 2 0.736462 0.158489 -0.419719 -0.506301 0.531273 0.621350 -0.575910
38 40 21 0.994694 0.100955 0.018196 -0.007858 -0.259907 -0.248342 -0.933153
42 44 46 0.979460 0.006715 0.199161 0.030792 0.307893 -0.907594 0.285437
40 44 18 0.918906 0.013146 0.389662 0.060023 0.294593 -0.922268 0.250273
1 35 45 0.736932 0.251474 -0.439581 -0.447728 0.471181 0.627958 -0.619401
37 42 76 0.988267 0.104762 0.110015 0.015835 -0.308731 -0.825631 -0.472249
7 38 76 0.951385 0.282649 -0.077344 -0.094835 -0.173327 0.615023 -0.769223
10 11 13 0.984409 0.018787 0.101250 0.142601 0.914024 -0.377661 0.148092
35 38 25 0.948589 -0.018328 -0.296515 -0.109184 0.564946 0.814331 -0.133045
2 35 45 0.853329 0.320933 -0.278356 -0.302240 0.049182 0.684195 -0.727639
31 44 60 0.942637 0.081739 -0.310301 -0.092021 -0.034990 0.701347 -0.711961
15 23 54 0.958333 0.070905 -0.214386 -0.174954 0.107340 0.758809 -0.642407
20 44 16 0.856347 0.201423 0.452858 0.144978 -0.116129 -0.947711 -0.297251
38 44 37 0.906084 0.109999 0.398152 0.091583 0.081155 -0.992915 -0.086800
19 41 75 0.946725 0.300281 0.114734 0.019461 -0.615406 -0.058275 -0.786053
45 46 46 0.994897 0.002742 0.099677 0.015386 0.662690 -0.709544 0.239559
31 34 1 0.948719 -0.016333 -0.296186 -0.109268 -0.116116 0.781770 -0.612660
26 35 58 0.947718 0.075316 -0.273901 -0.145385 0.112355 0.761534 -0.638313
4 17 54 0.977584 0.203782 0.040370 0.034230 -0.755899 -0.294999 -0.584459
9 42 73 0.897449 0.359200 -0.194835 -0.166133 0.048143 0.680765 -0.730918
35 37 21 0.977033 -0.012543 -0.199652 -0.073410 0.379259 0.880986 -0.282887
8 20 45 0.920275 0.149673 -0.252528 -0.258690 0.642202 0.647121 -0.410866
10 34 21 0.936740 0.270699 -0.158414 -0.155386 -0.275640 0.393127 -0.877196
16 21 27 0.927646 0.058672 -0.287764 -0.230698 0.624335 0.705235 -0.335931
7 17 56 0.979980 0.115947 0.112062 0.116784 -0.431338 -0.863247 -0.262205
16 37 64 0.936419 0.164047 -0.253215 -0.179138 0.385378 0.722375 -0.574159
35 46 60 0.948851 0.107861 0.289883 0.063375 0.384288 -0.857945 -0.340959
32 34 33 0.977112 -0.010788 -0.199299 -0.073586 -0.197442 0.818026 -0.540232
16 40 62 0.884521 0.245803 -0.342468 -0.199797 0.623190 0.692726 -0.362994
19 35 33 0.926161 0.212144 0.275253 0.146480 -0.326526 -0.860042 -0.392058
16 40 48 0.884521 0.245803 -0.342468 -0.199797 0.623190 0.692726 -0.362994
6 39 43 0.920874 0.386600 -0.003694 -0.050172 -0.316644 0.645400 -0.695123
18 43 59 0.936574 0.301867 0.171712 0.047114 -0.514827 -0.381251 -0.767855
25 33 62 0.994631 0.101297 0.021082 -0.002140 -0.179967 -0.592419 -0.785271
20 39 76 0.979826 0.198180 -0.001843 -0.025732 -0.191145 0.208361 -0.959192
5 39 29 0.877817 0.473018 -0.019300 -0.072933 -0.319193 0.810990 -0.490317
15 43 22 0.931463 0.272295 -0.201291 -0.133096 0.035733 0.582321 -0.812173
9 22 66 0.938633 0.158976 -0.212030 -0.220767 0.168351 0.726580 -0.666138
25 43 48 0.962588 0.185125 -0.176460 -0.089529 0.034789 0.565647 -0.823913
34 36 28 0.977072 -0.012706 -0.199432 -0.073460 0.192061 0.902462 -0.385583
9 17 4 0.978764 0.078346 -0.119368 -0.147083 -0.192415 0.655731 -0.730064
26 28 33 0.972038 0.017923 0.199078 0.123245 0.954664 -0.288423 -0.073684
18 24 66 0.960433 0.118659 0.205610 0.145647 0.011052 -0.982788 -0.184407
26 33 46 0.990430 0.093378 -0.086059 -0.054064 -0.397776 0.205311 -0.894216
20 36 71 0.951646 0.114917 0.260627 0.115056 -0.278595 -0.958929 -0.053299
30 47 22 0.986744 0.093573 -0.124877 -0.044571 -0.467704 0.165527 -0.868247
13 14 63 0.990297 -0.013112 -0.101022 -0.094519 -0.611309 0.640280 -0.465127
40 44 57 0.918906 0.013146 0.389662 0.060023 0.294593 -0.922268 0.250273
33 43 63 0.972643 0.088889 -0.204479 -0.065210 0.048177 0.725245 -0.686803
27 45 4 0.955376 0.182053 -0.209536 -0.101037 -0.146465 0.451892 -0.879967
8 20 72 0.920275 0.149673 -0.252528 -0.258690 0.642202 0.647121 -0.410866
22 41 70 0.979128 0.196644 -0.034603 -0.037972 -0.131949 0.219291 -0.966696
22 43 25 0.965624 0.205961 0.155270 0.032264 -0.358312 -0.631960 -0.687197
17 41 72 0.945062 0.280164 -0.134260 -0.101688 0.066860 0.587156 -0.806708
16 36 48 0.962063 0.177439 -0.164944 -0.125474 0.025016 0.607960 -0.793574
17 40 77 0.926199 0.267575 -0.223185 -0.144044 0.408969 0.689577 -0.597685
11 25 49 0.938772 0.160985 -0.210863 -0.219833 -0.334215 0.448764 -0.828801
7 36 25 0.948557 0.300865 0.092270 0.034724 -0.667562 -0.116257 -0.735422
27 44 36 0.928569 0.171514 -0.300659 -0.133962 0.053955 0.640120 -0.766378
13 45 70 0.912435 0.262095 -0.267800 -0.164477 -0.041231 0.487115 -0.872364
4 37 47 0.918395 0.374446 -0.066942 -0.108905 -0.389222 0.623230 -0.678300
9 40 18 0.837739 0.318824 -0.357074 -0.262759 0.619972 0.700407 -0.353644
16 18 28 0.961283 -0.027508 -0.200454 -0.187073 0.522231 0.798534 -0.299362
21 36 12 0.979277 0.110100 0.157411 0.064168 -0.368347 -0.890688 -0.266449
37 43 12 0.971421 0.107869 0.207391 0.041169 -0.132946 -0.965650 -0.223263
5 8 66 0.940040 0.132249 0.160500 0.270322 -0.254779 -0.959550 -0.119800
32 44 26 0.971279 0.088938 -0.210413 -0.066582 -0.104350 0.659934 -0.744042
42 46 75 0.919016 0.012047 0.389385 0.060364 0.581911 -0.813182 -0.010746
3 16 60 0.979240 0.191372 -0.027642 -0.060845 -0.711023 -0.145199 -0.688014
28 47 76 0.970411 0.188944 -0.131594 -0.072706 -0.282548 0.068752 -0.956786
3 4 43 0.967014 -0.031070 -0.103499 -0.230665 0.546164 0.756498 -0.359743
15 43 55 0.931463 0.272295 -0.201291 -0.133096 0.035733 0.582321 -0.812173
26 32 16 0.994864 0.100464 0.009930 -0.007314 -0.136817 -0.572167 -0.808645
21 38 48 0.994262 0.096967 -0.034230 -0.029487 -0.069680 0.263786 -0.962061
28 31 23 0.988093 0.091186 -0.106157 -0.063938 -0.544196 0.012120 -0.838871
3 23 63 0.940967 0.268072 -0.118997 -0.168992 -0.421792 0.481439 -0.768315
10 24 60 0.953573 0.169084 -0.170626 -0.181647 -0.293127 0.493446 -0.818894
33 34 73 0.994258 -0.005419 -0.100247 -0.037044 -0.262577 0.845274 -0.465366
34 45 57 0.990238 0.103233 0.092922 0.011725 0.132486 -0.814967 -0.564159
4 22 26 0.955422 0.286291 -0.028115 -0.066459 -0.610576 0.352602 -0.709132
17 38 24 0.945368 0.168275 -0.226414 -0.163401 0.479770 0.689479 -0.542623
43 45 47 0.979658 0.005976 0.198220 0.030703 0.487837 -0.845383 0.217585
32 45 42 0.988069 0.094688 -0.114028 -0.041840 -0.273523 0.385217 -0.881359
25 46 30 0.973228 0.203322 0.106177 0.014620 0.000700 -0.560716 -0.828008
12 48 35 0.946511 0.282285 -0.123449 -0.095877 -0.177095 -0.049169 -0.982965
33 35 50 0.977113 -0.011604 -0.199224 -0.073661 -0.003275 0.880394 -0.474232
33 43 75 0.972643 0.088889 -0.204479 -0.065210 0.048177 0.725245 -0.686803
22 37 59 0.993774 0.096213 -0.044430 -0.034377 -0.104328 0.286956 -0.952246
2 22 56 0.813628 0.192831 -0.346731 -0.424975 0.497186 0.692935 -0.522157
32 48 37 0.977582 0.105771 0.178800 0.034300 0.615668 -0.601223 -0.509396
4 6 67 0.957649 0.061288 -0.134920 -0.246876 0.525697 0.692254 -0.494395
10 42 27 0.846742 0.325411 -0.337735 -0.251138 0.369308 0.727735 -0.577939
18 39 24 0.934372 0.272906 -0.189815 -0.128227 0.435475 0.660821 -0.611292
45 48 18 0.954111 0.008374 0.295811 0.045801 0.836125 -0.523328 -0.164389
3 4 55 0.967014 -0.031070 -0.103499 -0.230665 0.546164 0.756498 -0.359743
23 25 45 0.971952 0.018481 0.199518 0.123131 0.563477 -0.803103 0.193698
17 19 16 0.961459 -0.027600 -0.199551 -0.187123 0.721801 0.675650 -0.149998
22 23 76 0.992990 0.009656 0.100177 0.061993 0.060813 -0.936216 0.346124
1 34 14 0.791710 0.283232 -0.375342 -0.389992 0.181101 0.620988 -0.762612
12 28 6 0.990381 0.089759 -0.077416 -0.071379 -0.576123 -0.362025 -0.732817
33 47 75 0.976436 0.105721 0.184714 0.035738 0.505462 -0.733395 -0.454577
15 23 1 0.958333 0.070905 -0.214386 -0.174954 0.107340 0.758809 -0.642407
37 42 66 0.988267 0.104762 0.110015 0.015835 -0.308731 -0.825631 -0.472249
6 39 20 0.920874 0.386600 -0.003694 -0.050172 -0.316644 0.645400 -0.695123
17 36 73 0.978846 0.191744 -0.046984 -0.053730 -0.322952 0.227409 -0.918688
8 36 12 0.954156 0.286558 -0.047417 -0.072270 -0.417990 0.339343 -0.842693
13 32 56 0.963784 0.180121 -0.155954 -0.119810 -0.384449 0.148511 -0.911122
21 24 12 0.937398 0.028342 0.295293 0.182441 0.407935 -0.887607 0.213875
10 43 20 0.879049 0.346828 -0.256644 -0.202774 0.102385 0.663239 -0.741371
21 23 4 0.972014 0.018838 0.199147 0.123181 0.129298 -0.936215 0.326777
2 22 49 0.813628 0.192831 -0.346731 -0.424975 0.497186 0.692935 -0.522157
34 44 60 0.994924 0.099594 -0.004759 -0.013580 -0.131261 -0.259703 -0.956726
10 14 65 0.993289 0.104325 0.038084 0.032295 -0.080812 -0.894985 -0.438716
16 41 64 0.916418 0.262097 -0.256938 -0.159578 0.363579 0.708318 -0.605058
20 43 15 0.899927 0.205132 0.368001 0.112375 -0.305742 -0.906098 -0.292418
38 44 19 0.906084 0.109999 0.398152 0.091583 0.081155 -0.992915 -0.086800
44 45 57 0.994891 0.002881 0.099733 0.015367 0.498450 -0.816425 0.291544
36 46 64 0.911226 0.109091 0.387080 0.089079 0.368180 -0.870000 -0.327938
4 7 59 0.990162 0.085476 -0.050158 -0.098776 -0.452252 0.542395 -0.708008
